id,word,category,part_of_speech,definition_zh_tw,example_en,example_zh_tw,collection_note
359,hand,core_3000,,,,,Core high-frequency vocabulary
360,hang,core_3000,,,,,Core high-frequency vocabulary
361,happen,core_3000,,,,,Core high-frequency vocabulary
362,happy,core_3000,,,,,Core high-frequency vocabulary
363,hard,core_3000,,,,,Core high-frequency vocabulary
364,have,core_3000,,,,,Core high-frequency vocabulary
365,he,core_3000,,,,,Core high-frequency vocabulary
366,head,core_3000,,,,,Core high-frequency vocabulary
367,health,core_3000,,,,,Core high-frequency vocabulary
368,hear,core_3000,,,,,Core high-frequency vocabulary
369,heart,core_3000,,,,,Core high-frequency vocabulary
370,heat,core_3000,,,,,Core high-frequency vocabulary
371,heavy,core_3000,,,,,Core high-frequency vocabulary
372,help,core_3000,,,,,Core high-frequency vocabulary
373,her,core_3000,,,,,Core high-frequency vocabulary
374,here,core_3000,,,,,Core high-frequency vocabulary
375,herself,core_3000,,,,,Core high-frequency vocabulary
376,high,core_3000,,,,,Core high-frequency vocabulary
377,him,core_3000,,,,,Core high-frequency vocabulary
378,himself,core_3000,,,,,Core high-frequency vocabulary
379,his,core_3000,,,,,Core high-frequency vocabulary
380,history,core_3000,,,,,Core high-frequency vocabulary
381,hit,core_3000,,,,,Core high-frequency vocabulary
382,hold,core_3000,,,,,Core high-frequency vocabulary
383,home,core_3000,,,,,Core high-frequency vocabulary
384,hope,core_3000,,,,,Core high-frequency vocabulary
385,hospital,core_3000,,,,,Core high-frequency vocabulary
386,hot,core_3000,,,,,Core high-frequency vocabulary
387,hotel,core_3000,,,,,Core high-frequency vocabulary
388,hour,core_3000,,,,,Core high-frequency vocabulary
389,house,core_3000,,,,,Core high-frequency vocabulary
390,how,core_3000,,,,,Core high-frequency vocabulary
391,however,core_3000,,,,,Core high-frequency vocabulary
392,huge,core_3000,,,,,Core high-frequency vocabulary
393,human,core_3000,,,,,Core high-frequency vocabulary
394,hundred,core_3000,,,,,Core high-frequency vocabulary
395,husband,core_3000,,,,,Core high-frequency vocabulary
396,I,core_3000,,,,,Core high-frequency vocabulary
397,idea,core_3000,,,,,Core high-frequency vocabulary
398,identify,core_3000,,,,,Core high-frequency vocabulary
399,if,core_3000,,,,,Core high-frequency vocabulary
400,image,core_3000,,,,,Core high-frequency vocabulary
401,imagine,core_3000,,,,,Core high-frequency vocabulary
402,impact,core_3000,,,,,Core high-frequency vocabulary
403,important,core_3000,,,,,Core high-frequency vocabulary
404,improve,core_3000,,,,,Core high-frequency vocabulary
405,in,core_3000,,,,,Core high-frequency vocabulary
406,include,core_3000,,,,,Core high-frequency vocabulary
407,including,core_3000,,,,,Core high-frequency vocabulary
408,increase,core_3000,,,,,Core high-frequency vocabulary
409,indeed,core_3000,,,,,Core high-frequency vocabulary
410,indicate,core_3000,,,,,Core high-frequency vocabulary
411,individual,core_3000,,,,,Core high-frequency vocabulary
412,industry,core_3000,,,,,Core high-frequency vocabulary
413,information,core_3000,,,,,Core high-frequency vocabulary
414,inside,core_3000,,,,,Core high-frequency vocabulary
415,instead,core_3000,,,,,Core high-frequency vocabulary
416,institution,core_3000,,,,,Core high-frequency vocabulary
417,interest,core_3000,,,,,Core high-frequency vocabulary
418,interesting,core_3000,,,,,Core high-frequency vocabulary
419,international,core_3000,,,,,Core high-frequency vocabulary
420,interview,core_3000,,,,,Core high-frequency vocabulary
421,into,core_3000,,,,,Core high-frequency vocabulary
422,investment,core_3000,,,,,Core high-frequency vocabulary
423,involve,core_3000,,,,,Core high-frequency vocabulary
424,issue,core_3000,,,,,Core high-frequency vocabulary
425,it,core_3000,,,,,Core high-frequency vocabulary
426,item,core_3000,,,,,Core high-frequency vocabulary
427,its,core_3000,,,,,Core high-frequency vocabulary
428,itself,core_3000,,,,,Core high-frequency vocabulary
429,job,core_3000,,,,,Core high-frequency vocabulary
430,join,core_3000,,,,,Core high-frequency vocabulary
431,just,core_3000,,,,,Core high-frequency vocabulary
432,keep,core_3000,,,,,Core high-frequency vocabulary
433,key,core_3000,,,,,Core high-frequency vocabulary
434,kid,core_3000,,,,,Core high-frequency vocabulary
435,kill,core_3000,,,,,Core high-frequency vocabulary
436,kind,core_3000,,,,,Core high-frequency vocabulary
437,know,core_3000,,,,,Core high-frequency vocabulary
438,knowledge,core_3000,,,,,Core high-frequency vocabulary
439,land,core_3000,,,,,Core high-frequency vocabulary
440,language,core_3000,,,,,Core high-frequency vocabulary
441,large,core_3000,,,,,Core high-frequency vocabulary
442,last,core_3000,,,,,Core high-frequency vocabulary
443,late,core_3000,,,,,Core high-frequency vocabulary
444,later,core_3000,,,,,Core high-frequency vocabulary
445,laugh,core_3000,,,,,Core high-frequency vocabulary
446,law,core_3000,,,,,Core high-frequency vocabulary
447,lawyer,core_3000,,,,,Core high-frequency vocabulary
448,lay,core_3000,,,,,Core high-frequency vocabulary
449,lead,core_3000,,,,,Core high-frequency vocabulary
450,leader,core_3000,,,,,Core high-frequency vocabulary
451,learn,core_3000,,,,,Core high-frequency vocabulary
452,least,core_3000,,,,,Core high-frequency vocabulary
453,leave,core_3000,,,,,Core high-frequency vocabulary
454,left,core_3000,,,,,Core high-frequency vocabulary
455,leg,core_3000,,,,,Core high-frequency vocabulary
456,legal,core_3000,,,,,Core high-frequency vocabulary
457,less,core_3000,,,,,Core high-frequency vocabulary
458,let,core_3000,,,,,Core high-frequency vocabulary
459,letter,core_3000,,,,,Core high-frequency vocabulary
460,level,core_3000,,,,,Core high-frequency vocabulary
461,life,core_3000,,,,,Core high-frequency vocabulary
462,light,core_3000,,,,,Core high-frequency vocabulary
463,like,core_3000,,,,,Core high-frequency vocabulary
464,likely,core_3000,,,,,Core high-frequency vocabulary
465,line,core_3000,,,,,Core high-frequency vocabulary
466,list,core_3000,,,,,Core high-frequency vocabulary
467,listen,core_3000,,,,,Core high-frequency vocabulary
468,little,core_3000,,,,,Core high-frequency vocabulary
469,live,core_3000,,,,,Core high-frequency vocabulary
470,local,core_3000,,,,,Core high-frequency vocabulary
471,long,core_3000,,,,,Core high-frequency vocabulary
472,look,core_3000,,,,,Core high-frequency vocabulary
473,lose,core_3000,,,,,Core high-frequency vocabulary
474,loss,core_3000,,,,,Core high-frequency vocabulary
475,lot,core_3000,,,,,Core high-frequency vocabulary
476,low,core_3000,,,,,Core high-frequency vocabulary
477,machine,core_3000,,,,,Core high-frequency vocabulary
478,magazine,core_3000,,,,,Core high-frequency vocabulary
479,main,core_3000,,,,,Core high-frequency vocabulary
480,maintain,core_3000,,,,,Core high-frequency vocabulary
481,major,core_3000,,,,,Core high-frequency vocabulary
482,majority,core_3000,,,,,Core high-frequency vocabulary
483,make,core_3000,,,,,Core high-frequency vocabulary
484,man,core_3000,,,,,Core high-frequency vocabulary
485,manage,core_3000,,,,,Core high-frequency vocabulary
486,management,core_3000,,,,,Core high-frequency vocabulary
487,manager,core_3000,,,,,Core high-frequency vocabulary
488,many,core_3000,,,,,Core high-frequency vocabulary
489,market,core_3000,,,,,Core high-frequency vocabulary
490,marriage,core_3000,,,,,Core high-frequency vocabulary
491,material,core_3000,,,,,Core high-frequency vocabulary
492,matter,core_3000,,,,,Core high-frequency vocabulary
493,may,core_3000,,,,,Core high-frequency vocabulary
494,maybe,core_3000,,,,,Core high-frequency vocabulary
495,me,core_3000,,,,,Core high-frequency vocabulary
496,mean,core_3000,,,,,Core high-frequency vocabulary
497,measure,core_3000,,,,,Core high-frequency vocabulary
498,media,core_3000,,,,,Core high-frequency vocabulary
499,medical,core_3000,,,,,Core high-frequency vocabulary
500,meet,core_3000,,,,,Core high-frequency vocabulary
501,meeting,core_3000,,,,,Core high-frequency vocabulary
